"scenario","particle_id","rep","arm","n_hcw_deaths","hcw_days_lost","counterfactual_hcw","prevented_hcw","baseline_days_lost"
"DRC",1,1,"obv_50",46,26903.7466091023,104,58,59728.8271321694
"DRC",1,2,"obv_50",5,597.20056051081,8,3,1470.91086494058
"DRC",1,3,"obv_50",34,23540.5399955449,65,31,45562.6034633868
"DRC",1,4,"obv_50",33,26603.0512946077,91,58,57216.8281028252
"DRC",1,5,"obv_50",6,625.066155338915,18,12,2028.18167535032
"DRC",1,6,"obv_50",99,53183.2728180248,192,93,109848.158366085
"DRC",1,7,"obv_50",11,3115.91568265856,17,6,4635.10536037376
"DRC",1,8,"obv_50",23,11888.1492111988,55,32,26021.0102440574
"DRC",1,9,"obv_50",7,3439.77486817774,20,13,8347.49644951039
"DRC",1,10,"obv_50",5,1129.68384045978,8,3,1372.78725915413
"DRC",2,1,"obv_50",24,7310.98042946554,39,15,14104.7483449662
"DRC",2,2,"obv_50",4,648.951920501111,8,4,1413.68110145408
"DRC",2,3,"obv_50",17,8467.02352447476,28,11,16247.1833311845
"DRC",2,4,"obv_50",104,26298.0194156191,204,100,48639.2909684673
"DRC",2,5,"obv_50",2,232.402712468419,4,2,769.774262137802
"DRC",2,6,"obv_50",7,3453.02760318823,23,16,8851.26182904908
"DRC",2,7,"obv_50",5,4145.16520632604,11,6,8047.77444941291
"DRC",2,8,"obv_50",90,58526.2583941898,181,91,117778.351285483
"DRC",2,9,"obv_50",85,47802.7823557539,171,86,89850.3944820782
"DRC",2,10,"obv_50",2,352.07768366502,12,10,1694.03102482839
"DRC",3,1,"obv_50",21,12392.8505661794,37,16,21877.3790531757
"DRC",4,1,"obv_50",122,55110.1021707261,226,104,110177.405812435
"DRC",5,1,"obv_50",5,873.867607765465,8,3,1416.04618575994
"DRC",5,2,"obv_50",23,4635.57496585272,40,17,8612.25773337001
"DRC",5,3,"obv_50",23,4635.57496585272,40,17,8612.25773337001
"DRC",5,4,"obv_50",5,1140.15301842555,8,3,1588.70869543718
"DRC",5,5,"obv_50",5,612.742041799282,8,3,1295.93061522082
"DRC",5,6,"obv_50",7,941.207298548782,9,2,1385.19648745327
"DRC",5,7,"obv_50",15,3344.32163944593,28,13,5872.37792893777
"DRC",5,8,"obv_50",46,28836.3397394072,107,61,59334.9533697975
"DRC",5,9,"obv_50",104,63896.2929133066,218,114,137466.289789059
"DRC",5,10,"obv_50",12,1251.3768340302,20,8,2619.35499430537
"DRC",6,1,"obv_50",89,21039.9074811915,162,73,43440.4797792345
"DRC",6,2,"obv_50",8,1333.9332882675,16,8,2868.5755076806
"DRC",6,3,"obv_50",8,1333.9332882675,16,8,2868.5755076806
"DRC",6,4,"obv_50",7,1388.64078696948,13,6,2295.85476700498
"DRC",6,5,"obv_50",9,1651.20063329066,19,10,3810.26980842221
"DRC",6,6,"obv_50",6,1214.79367408724,15,9,2474.23053414014
"DRC",6,7,"obv_50",90,46656.6662291566,181,91,91627.7412821679
"DRC",6,8,"obv_50",90,46656.6662291566,181,91,91627.7412821679
"DRC",6,9,"obv_50",12,2892.02484950008,16,4,4521.76122058928
"DRC",6,10,"obv_50",32,13674.6635278481,56,24,25797.4955242209
"DRC",7,1,"obv_50",14,11404.0094775707,30,16,23836.8279749458
"DRC",8,1,"obv_50",89,23072.4807358838,175,86,43447.0004536905
"DRC",9,1,"obv_50",33,17458.1074948451,69,36,37496.5167571671
"DRC",9,2,"obv_50",25,5181.34024619029,47,22,11811.6020554881
"DRC",9,3,"obv_50",71,46487.5253842698,132,61,95930.7656835752
"DRC",9,4,"obv_50",8,3318.66285312909,19,11,7559.42012246164
"DRC",9,5,"obv_50",80,17312.1566723676,168,88,39126.5305790875
"DRC",9,6,"obv_50",14,2368.72664247675,23,9,4058.62326837924
"DRC",9,7,"obv_50",13,4580.87103498402,33,20,9270.97524495395
"DRC",9,8,"obv_50",6,1200.71375648281,16,10,2365.87224104283
"DRC",9,9,"obv_50",85,16964.1233446671,185,100,36169.2626854737
"DRC",9,10,"obv_50",16,3068.09241999049,27,11,5609.03862470934
"DRC",10,1,"obv_50",8,1407.53576104818,15,7,2816.77960233216
"DRC",10,2,"obv_50",0,69.6736167805703,2,2,179.587309210972
"DRC",10,3,"obv_50",12,3676.57862983399,20,8,5762.52941619151
"DRC",10,4,"obv_50",7,1051.760398522,12,5,1871.92492270048
"DRC",10,5,"obv_50",5,635.239880813401,8,3,1239.25325791072
"DRC",10,6,"obv_50",2,210.218381855706,4,2,461.487422842623
"DRC",10,7,"obv_50",1,276.603870932812,4,3,461.100159154724
"DRC",10,8,"obv_50",119,22274.917043724,225,106,42502.5294674076
"DRC",10,9,"obv_50",27,8758.96171953206,58,31,20302.7232312115
"DRC",10,10,"obv_50",18,2322.35579593523,34,16,6415.75774207067
"DRC",11,1,"obv_50",60,27052.0225815997,151,91,63204.645231732
"DRC",11,2,"obv_50",11,5882.16020787778,29,18,13986.4903896302
"DRC",11,3,"obv_50",4,2094.03910695165,14,10,5512.84162628405
"DRC",11,4,"obv_50",105,26887.8010328918,193,88,47034.5053822061
"DRC",11,5,"obv_50",10,5374.21578576428,21,11,9817.37003103863
"DRC",11,6,"obv_50",92,62116.3553274739,184,92,133346.869114542
"DRC",11,7,"obv_50",65,58463.036669799,134,69,120552.998693157
"DRC",11,8,"obv_50",33,18047.1711650488,79,46,43764.1659060978
"DRC",11,9,"obv_50",36,25195.9777925996,97,61,60270.976423794
"DRC",11,10,"obv_50",70,56783.9777273874,148,78,117346.961736405
"DRC",12,1,"obv_50",25,9777.9892819334,43,18,21454.1172565559
"DRC",13,1,"obv_50",10,1586.24464907845,11,1,1979.84774866495
"DRC",13,2,"obv_50",3,740.189757034234,5,2,1155.81640769668
"DRC",13,3,"obv_50",1,71.2717048088074,3,2,308.900951760902
"DRC",13,4,"obv_50",39,15311.9058968386,80,41,30662.6277363727
"DRC",13,5,"obv_50",67,17827.2633046042,163,96,38413.0005250077
"DRC",13,6,"obv_50",5,877.662256362743,10,5,1778.1150215274
"DRC",13,7,"obv_50",12,8237.70114831859,25,13,12811.2874650054
"DRC",13,8,"obv_50",35,18101.5935368561,68,33,36397.1347933536
"DRC",13,9,"obv_50",35,18101.5935368561,68,33,36397.1347933536
"DRC",13,10,"obv_50",4,460.26959821614,6,2,796.624576383568
"DRC",14,1,"obv_50",102,23875.6606971689,198,96,48940.7109124697
"DRC",14,2,"obv_50",107,57939.1400259927,206,99,116845.872829845
"DRC",14,3,"obv_50",4,1008.61235513135,10,6,2423.93860947975
"DRC",14,4,"obv_50",15,6543.5936535854,23,8,9821.78439406325
"DRC",14,5,"obv_50",3,546.088331121478,4,1,753.33174069407
"DRC",14,6,"obv_50",9,1559.14222201147,19,10,3962.72719310461
"DRC",14,7,"obv_50",6,1782.95229605627,12,6,3613.1378443728
"DRC",14,8,"obv_50",89,70521.6631962967,157,68,129097.748416655
"DRC",14,9,"obv_50",6,770.498645530447,7,1,975.697834665705
"DRC",14,10,"obv_50",54,42530.2160051042,114,60,88954.5115554169
"DRC",15,1,"obv_50",9,1133.97681131697,13,4,2111.16938846477
"DRC",16,1,"obv_50",4,343.454690361473,10,6,1272.50558648765
"DRC",17,1,"obv_50",64,33277.1276415632,130,66,64905.3854390692
"DRC",17,2,"obv_50",11,2170.47342811431,33,22,5695.23488295009
"DRC",17,3,"obv_50",105,95672.9747867542,204,99,186654.871641114
"DRC",17,4,"obv_50",1,102.606906562369,4,3,345.590115343473
"DRC",17,5,"obv_50",28,13732.6482815946,60,32,29122.4051714587
"DRC",17,6,"obv_50",35,17928.9813553454,63,28,34168.4176422767
"DRC",17,7,"obv_50",10,975.955832510899,15,5,2385.96685729457
"DRC",17,8,"obv_50",10,975.955832510899,15,5,2385.96685729457
"DRC",17,9,"obv_50",4,1542.12730054382,13,9,4721.57880484879
"DRC",17,10,"obv_50",6,1171.81709840085,15,9,2320.11602612006
"DRC",18,1,"obv_50",18,6347.57762820058,39,21,12778.9170000654
"DRC",18,2,"obv_50",45,23604.4162128571,78,33,41323.5885539115
"DRC",18,3,"obv_50",40,31097.808388988,70,30,54046.4980258377
"DRC",18,4,"obv_50",40,31097.808388988,70,30,54046.4980258377
"DRC",18,5,"obv_50",40,31097.808388988,70,30,54046.4980258377
"DRC",18,6,"obv_50",70,50302.8170823376,140,70,111752.154458873
"DRC",18,7,"obv_50",70,50302.8170823376,140,70,111752.154458873
"DRC",18,8,"obv_50",103,55724.3249583271,185,82,106346.544056808
"DRC",18,9,"obv_50",101,25188.668025326,197,96,50527.2904071838
"DRC",18,10,"obv_50",80,25150.4889010558,180,100,52619.4003286529
"DRC",19,1,"obv_50",125,27482.6722526411,231,106,54631.7871251781
"DRC",20,1,"obv_50",65,35451.9897475075,132,67,67895.6592267993
"DRC",21,1,"obv_50",48,21096.6005501632,104,56,44641.0812023448
"DRC",21,2,"obv_50",90,58209.2369120316,186,96,118586.885992306
"DRC",21,3,"obv_50",20,10639.8583947586,46,26,26818.8312402436
"DRC",21,4,"obv_50",57,30301.5209384775,99,42,56296.7406287844
"DRC",21,5,"obv_50",8,3318.27418768488,18,10,6550.01095687661
"DRC",21,6,"obv_50",65,43137.3766088714,153,88,88749.6663783405
"DRC",21,7,"obv_50",9,2417.55887807359,16,7,3680.73049225959
"DRC",21,8,"obv_50",2,616.774976968746,6,4,1062.71531179724
"DRC",21,9,"obv_50",107,50139.9217694463,222,115,96746.9465946366
"DRC",21,10,"obv_50",75,53373.4602543116,148,73,107034.918501966
"DRC",22,1,"obv_50",35,22604.5711967406,78,43,49748.8867910032
"DRC",22,2,"obv_50",10,6746.28212610703,30,20,16542.4159503435
"DRC",22,3,"obv_50",66,28937.0428962982,113,47,53579.3261995311
"DRC",22,4,"obv_50",4,2409.47206176179,9,5,5355.34202891367
"DRC",22,5,"obv_50",61,46956.4846399419,129,68,104755.640183745
"DRC",22,6,"obv_50",6,3738.92268837431,17,11,6666.43390202033
"DRC",22,7,"obv_50",110,30237.0940579222,219,109,58108.8827240545
"DRC",22,8,"obv_50",1,410.761150985678,5,4,1045.36133685263
"DRC",22,9,"obv_50",78,28990.2387989126,143,65,58595.7513754757
"DRC",22,10,"obv_50",4,1251.87561165069,5,1,2154.85670889256
"DRC",23,1,"obv_50",2,437.594302420218,6,4,1007.26879683694
